county_state,county,state_id,state_name
Brooks_Texas,Brooks,TX,Texas
Union_Indiana,Union,IN,Indiana
Bailey_Texas,Bailey,TX,Texas
East Carroll_Louisiana,East Carroll,LA,Louisiana
Adair_Iowa,Adair,IA,Iowa
Monroe_Arkansas,Monroe,AR,Arkansas
Weston_Wyoming,Weston,WY,Wyoming
King and Queen_Virginia,King and Queen,VA,Virginia
Grand Isle_Vermont,Grand Isle,VT,Vermont
Charles City_Virginia,Charles City,VA,Virginia
Wallowa_Oregon,Wallowa,OR,Oregon
Pendleton_West Virginia,Pendleton,WV,West Virginia
Tucker_West Virginia,Tucker,WV,West Virginia
Presidio_Texas,Presidio,TX,Texas
Nemaha_Nebraska,Nemaha,NE,Nebraska
Randolph_Georgia,Randolph,GA,Georgia
Schuyler_Illinois,Schuyler,IL,Illinois
Caribou_Idaho,Caribou,ID,Idaho
Russell_Kansas,Russell,KS,Kansas
